iter	Passed	Remaining
620	15742	9607
621	15750	9571
622	15757	9535
623	15764	9499
624	15834	9500
625	15846	9467
626	15859	9434
627	15866	9398
628	15961	9414
629	15968	9378
630	15986	9348
631	16058	9350
632	16072	9318
633	16084	9285
634	16100	9254
635	16186	9264
636	16203	9233
637	16213	9199
638	16220	9163
639	16226	9127
640	16234	9092
641	16239	9055
642	16245	9019
643	16274	8996
644	16285	8963
645	16297	8930
646	16304	8895
647	16347	8879
648	16355	8845
649	16365	8812
650	16377	8779
651	16445	8777
652	16450	8741
653	16463	8709
654	16529	8706
655	16539	8673
656	16547	8639
657	16559	8606
658	16626	8603
659	16641	8572
660	16658	8543
661	16666	8509
662	16715	8496
663	16723	8462
664	16733	8429
665	16739	8394
666	16772	8373
667	16783	8341
668	16792	8308
669	16801	8275
670	16825	8249
671	16841	8220
672	16852	8188
673	16893	8171
674	16905	8139
675	16912	8106
676	16919	8072
677	16965	8057
678	16976	8025
679	16988	7994
680	16995	7961
681	17045	7947
682	17051	7914
683	17061	7882
684	17068	7849
685	17075	7816
686	17084	7783
687	17089	7750
688	17100	7718
689	17107	7685
690	17192	7688
691	17199	7655
692	17208	7623
693	17214	7590
694	17262	7575
695	17276	7546
696	17283	7513
697	17292	7481
698	17377	7483
699	17385	7451
700	17392	7418
701	17398	7385
702	17407	7354
703	17420	7324
704	17432	7294
705	17439	7262
706	17470	7240
707	17477	7208
708	17486	7177
709	17493	7145
710	17567	7140
711	17576	7109
712	17585	7078
713	17592	7046
714	17618	7022
715	17631	6993
716	17640	6962
717	17647	6931
718	17711	6921
719	17718	6890
720	17726	6859
721	17735	6828
722	17770	6808
723	17776	6776
724	17787	6747
725	17800	6717
726	17884	6716
727	17895	6686
728	17901	6654
729	17909	6624
730	17971	6613
731	17983	6583
732	17991	6553
733	18001	6523
734	18055	6509
735	18063	6479
736	18082	6452
737	18093	6423
738	18104	6394
739	18113	6364
740	18120	6333
741	18125	6302
742	18185	6290
743	18192	6259
744	18199	6229
745	18204	6198
746	18219	6170
747	18228	6141
748	18235	6111
749	18244	6081
750	18255	6052
751	18261	6022
752	18269	5992
753	18274	5962
754	18280	5932
755	18294	5904
756	18304	5875
757	18310	5845
758	18321	5817
759	18357	5797
760	18367	5768
